Song_ID,Title,Artist,Danceability,Energy,Tempo,Genre
S0069,Song 69,Artist 19,0.8,0.53,98,Hip-Hop
S0070,Song 70,Artist 30,0.56,0.71,61,Electronic
S0071,Song 71,Artist 99,0.59,0.52,58,Electronic
S0072,Song 72,Artist 27,0.95,0.8,161,Pop
S0073,Song 73,Artist 34,0.7,0.97,61,Classical
S0074,Song 74,Artist 99,0.68,0.35,61,Hip-Hop
S0075,Song 75,Artist 4,0.86,0.97,40,Hip-Hop
S0076,Song 76,Artist 96,0.48,0.88,86,Rock
S0077,Song 77,Artist 84,0.98,0.62,184,Classical
S0078,Song 78,Artist 56,0.6,0.64,74,Rock
S0079,Song 79,Artist 76,0.85,0.57,185,Jazz
S0080,Song 80,Artist 48,0.52,0.49,146,Electronic
S0081,Song 81,Artist 37,0.84,0.98,107,Hip-Hop
S0082,Song 82,Artist 35,0.96,0.3,166,Jazz
S0083,Song 83,Artist 88,0.97,0.65,189,Electronic
S0084,Song 84,Artist 69,0.51,0.47,121,Electronic
S0085,Song 85,Artist 42,0.51,0.55,41,Rock
S0086,Song 86,Artist 95,0.69,0.47,107,Rock
S0087,Song 87,Artist 43,0.71,0.54,94,Rock
S0088,Song 88,Artist 14,0.87,0.38,141,Classical
S0089,Song 89,Artist 71,0.4,0.42,110,Jazz
S0090,Song 90,Artist 13,0.44,0.42,165,Hip-Hop
S0091,Song 91,Artist 43,0.96,0.32,67,Rock
S0092,Song 92,Artist 8,0.84,0.53,123,Rock
S0093,Song 93,Artist 21,0.99,0.8,101,Classical
S0094,Song 94,Artist 47,0.71,0.63,126,Country
S0095,Song 95,Artist 14,0.64,0.6,140,Country
S0096,Song 96,Artist 47,0.42,0.66,184,Classical
S0097,Song 97,Artist 46,0.67,0.71,60,Pop
S0098,Song 98,Artist 21,0.41,0.52,60,Jazz
S0099,Song 99,Artist 69,0.75,0.84,72,Electronic
S0100,Song 100,Artist 61,0.79,0.54,185,Country
S0101,Song 101,Artist 43,0.41,0.74,137,Jazz
S0102,Song 102,Artist 11,0.46,0.9,100,Pop
S0103,Song 103,Artist 15,0.43,0.73,133,Pop
S0104,Song 104,Artist 70,0.54,0.76,165,Country
S0105,Song 105,Artist 77,0.71,0.85,117,Electronic
S0106,Song 106,Artist 12,0.66,0.79,130,Country
S0107,Song 107,Artist 79,0.71,0.66,149,Classical
S0108,Song 108,Artist 45,0.96,0.46,67,Jazz
S0109,Song 109,Artist 98,0.92,0.78,172,Country
S0110,Song 110,Artist 26,0.57,0.38,51,Country
S0111,Song 111,Artist 73,0.63,0.58,157,Classical
S0112,Song 112,Artist 24,0.99,0.72,173,Pop
S0113,Song 113,Artist 67,0.68,0.31,64,Rock
S0114,Song 114,Artist 17,0.5,0.35,162,Pop
S0115,Song 115,Artist 1,0.71,0.87,116,Jazz
S0116,Song 116,Artist 8,0.72,0.53,61,Country
S0117,Song 117,Artist 42,0.62,0.78,71,Hip-Hop
S0118,Song 118,Artist 30,0.48,0.33,176,Rock
S0119,Song 119,Artist 64,0.83,0.53,47,Hip-Hop
S0120,Song 120,Artist 35,0.79,0.71,66,Electronic
S0121,Song 121,Artist 96,0.86,0.96,165,Pop
S0122,Song 122,Artist 39,0.77,0.83,132,Hip-Hop
S0123,Song 123,Artist 19,0.78,0.99,73,Hip-Hop
S0124,Song 124,Artist 3,0.47,0.73,76,Pop
S0125,Song 125,Artist 80,0.54,0.96,100,Pop
S0126,Song 126,Artist 75,0.48,0.49,194,Electronic
S0127,Song 127,Artist 93,0.97,0.77,176,Hip-Hop
S0128,Song 128,Artist 98,0.75,0.91,100,Rock
S0129,Song 129,Artist 69,0.6,0.36,118,Jazz
S0130,Song 130,Artist 55,0.95,0.53,194,Country
S0131,Song 131,Artist 41,0.91,0.33,180,Pop
S0132,Song 132,Artist 34,0.9,0.48,73,Hip-Hop
S0133,Song 133,Artist 21,0.54,0.54,120,Rock
S0134,Song 134,Artist 70,0.96,0.77,149,Electronic
S0135,Song 135,Artist 65,0.66,0.36,107,Jazz
S0136,Song 136,Artist 8,0.66,0.85,148,Pop
S0137,Song 137,Artist 28,0.6,0.43,121,Country
S0138,Song 138,Artist 72,0.48,0.56,59,Jazz
S0139,Song 139,Artist 30,0.66,0.55,59,Pop
S0140,Song 140,Artist 26,0.67,0.61,191,Country
S0141,Song 141,Artist 76,0.57,0.93,61,Pop
S0142,Song 142,Artist 50,1.0,0.93,41,Jazz
S0143,Song 143,Artist 24,0.96,0.55,57,Hip-Hop
S0144,Song 144,Artist 73,0.8,0.86,102,Electronic
S0145,Song 145,Artist 11,0.42,0.31,40,Country
S0146,Song 146,Artist 34,0.55,0.37,177,Country
S0147,Song 147,Artist 90,0.97,0.44,159,Country
S0148,Song 148,Artist 25,0.62,0.81,183,Classical
S0149,Song 149,Artist 95,0.93,0.93,95,Country
S0150,Song 150,Artist 66,0.57,0.85,169,Rock
S0151,Song 151,Artist 44,0.43,0.45,195,Electronic
S0152,Song 152,Artist 40,0.46,0.88,143,Classical
S0153,Song 153,Artist 51,0.77,0.84,106,Pop
S0154,Song 154,Artist 97,0.69,0.57,169,Country
S0155,Song 155,Artist 92,0.97,0.45,168,Jazz
S0156,Song 156,Artist 37,0.95,0.64,155,Pop
S0157,Song 157,Artist 53,0.68,0.82,63,Rock
S0158,Song 158,Artist 99,0.51,0.34,43,Rock
S0159,Song 159,Artist 100,0.93,0.96,199,Rock
S0160,Song 160,Artist 1,0.66,0.86,181,Rock
S0161,Song 161,Artist 3,0.88,0.71,146,Classical
S0162,Song 162,Artist 33,0.52,0.61,117,Classical
S0163,Song 163,Artist 35,0.48,0.38,141,Electronic
S0164,Song 164,Artist 88,0.85,0.81,131,Hip-Hop
S0165,Song 165,Artist 31,0.63,0.42,101,Rock
S0166,Song 166,Artist 91,0.56,0.41,83,Jazz
S0167,Song 167,Artist 3,0.45,0.55,62,Pop
S0168,Song 168,Artist 89,0.7,0.37,40,Pop
S0169,Song 169,Artist 73,0.88,0.62,42,Hip-Hop
S0170,Song 170,Artist 54,0.51,0.38,74,Electronic
S0171,Song 171,Artist 89,0.57,0.99,114,Electronic
S0172,Song 172,Artist 48,0.71,0.9,188,Classical
S0173,Song 173,Artist 8,0.94,0.35,79,Jazz
S0174,Song 174,Artist 93,0.47,0.93,83,Hip-Hop
S0175,Song 175,Artist 98,0.77,0.37,173,Electronic
S0176,Song 176,Artist 21,0.48,0.42,112,Country
S0177,Song 177,Artist 99,0.86,0.84,189,Country
S0178,Song 178,Artist 9,0.69,0.65,197,Rock
S0179,Song 179,Artist 20,0.96,0.52,118,Electronic
S0180,Song 180,Artist 66,0.85,0.4,77,Hip-Hop
S0181,Song 181,Artist 20,0.9,0.68,107,Country
S0182,Song 182,Artist 58,0.86,0.83,42,Electronic
S0183,Song 183,Artist 55,0.73,0.8,74,Electronic
S0184,Song 184,Artist 63,0.94,0.94,64,Rock
S0185,Song 185,Artist 62,0.67,0.49,86,Hip-Hop
S0186,Song 186,Artist 81,0.45,0.73,108,Classical
S0187,Song 187,Artist 74,0.41,0.45,133,Jazz
S0188,Song 188,Artist 26,0.6,0.39,123,Jazz
S0189,Song 189,Artist 8,0.75,0.33,157,Jazz
S0190,Song 190,Artist 78,0.9,0.75,43,Hip-Hop
S0191,Song 191,Artist 37,0.47,0.83,123,Electronic
S0192,Song 192,Artist 29,0.88,0.99,168,Classical
S0193,Song 193,Artist 75,0.65,1.0,106,Classical
S0194,Song 194,Artist 28,0.41,0.42,46,Pop
S0195,Song 195,Artist 74,0.59,0.91,106,Electronic
S0196,Song 196,Artist 1,0.81,0.69,198,Hip-Hop
S0197,Song 197,Artist 47,0.7,0.75,180,Hip-Hop
S0198,Song 198,Artist 58,0.94,0.81,118,Rock
S0199,Song 199,Artist 16,0.73,0.83,118,Classical
S0200,Song 200,Artist 30,0.5,0.92,115,Classical
S0201,Song 201,Artist 44,0.64,0.62,116,Electronic
S0202,Song 202,Artist 91,0.87,0.9,111,Rock
S0203,Song 203,Artist 85,0.62,0.31,75,Jazz
S0204,Song 204,Artist 67,0.79,0.47,159,Country
S0205,Song 205,Artist 90,0.68,0.99,197,Pop
S0206,Song 206,Artist 74,0.69,0.78,184,Electronic
S0207,Song 207,Artist 17,0.45,0.57,181,Hip-Hop
S0208,Song 208,Artist 74,0.99,0.54,195,Jazz
S0209,Song 209,Artist 92,0.57,0.91,198,Classical
S0210,Song 210,Artist 87,0.41,0.76,154,Pop
S0211,Song 211,Artist 54,0.66,0.5,152,Country
S0212,Song 212,Artist 41,0.63,0.9,180,Electronic
S0213,Song 213,Artist 59,0.97,0.42,100,Classical
S0214,Song 214,Artist 16,0.79,0.63,185,Electronic
S0215,Song 215,Artist 34,0.91,0.76,192,Electronic
S0216,Song 216,Artist 46,0.77,0.4,46,Country
S0217,Song 217,Artist 35,0.91,0.74,76,Rock
S0218,Song 218,Artist 63,0.85,0.9,50,Electronic
S0219,Song 219,Artist 66,0.72,0.41,187,Classical
S0220,Song 220,Artist 94,0.93,0.45,70,Rock
S0221,Song 221,Artist 13,0.47,0.59,56,Hip-Hop
S0222,Song 222,Artist 68,0.85,0.87,90,Jazz
S0223,Song 223,Artist 52,0.87,0.79,117,Rock
S0224,Song 224,Artist 45,0.79,0.31,155,Electronic
S0225,Song 225,Artist 65,0.51,0.4,179,Rock
S0226,Song 226,Artist 55,0.89,0.5,47,Classical
S0227,Song 227,Artist 56,0.83,0.47,121,Hip-Hop
S0228,Song 228,Artist 23,0.91,0.47,126,Country
S0229,Song 229,Artist 91,0.44,0.95,62,Classical
S0230,Song 230,Artist 60,0.98,0.67,42,Pop
S0231,Song 231,Artist 72,0.64,0.59,103,Classical
S0232,Song 232,Artist 60,0.98,0.59,190,Electronic
S0233,Song 233,Artist 29,0.52,0.67,150,Electronic
S0234,Song 234,Artist 43,0.46,0.92,180,Classical
S0235,Song 235,Artist 54,0.82,0.39,108,Jazz
S0236,Song 236,Artist 30,0.53,0.72,111,Pop
S0237,Song 237,Artist 15,0.83,0.88,171,Classical
S0238,Song 238,Artist 29,0.43,0.58,82,Electronic
S0239,Song 239,Artist 49,0.44,0.64,78,Country
S0240,Song 240,Artist 19,0.82,0.67,101,Rock
S0241,Song 241,Artist 73,0.64,0.99,103,Rock
S0242,Song 242,Artist 33,0.7,0.82,122,Country
S0243,Song 243,Artist 18,0.61,0.7,61,Pop
S0244,Song 244,Artist 82,0.82,0.58,59,Country
S0245,Song 245,Artist 94,0.74,0.79,141,Pop
S0246,Song 246,Artist 45,0.51,0.31,150,Jazz
S0247,Song 247,Artist 97,0.57,0.57,95,Rock
S0248,Song 248,Artist 60,0.88,0.78,153,Jazz
S0249,Song 249,Artist 68,0.82,0.88,110,Jazz
S0250,Song 250,Artist 34,0.88,0.44,53,Rock
S0251,Song 251,Artist 9,0.86,0.67,47,Rock
S0252,Song 252,Artist 91,0.79,0.55,58,Hip-Hop
S0253,Song 253,Artist 23,0.41,0.69,170,Hip-Hop
S0254,Song 254,Artist 16,0.65,0.5,64,Electronic
S0255,Song 255,Artist 55,0.52,0.77,67,Pop
S0256,Song 256,Artist 30,0.73,0.54,62,Hip-Hop
S0257,Song 257,Artist 73,0.55,0.44,90,Rock
S0258,Song 258,Artist 99,0.96,0.4,113,Classical
S0259,Song 259,Artist 94,0.72,0.53,152,Pop
S0260,Song 260,Artist 39,0.48,0.97,78,Hip-Hop
S0261,Song 261,Artist 68,0.63,0.72,126,Pop
S0262,Song 262,Artist 73,0.96,0.95,126,Country
S0263,Song 263,Artist 2,0.72,0.99,63,Pop
S0264,Song 264,Artist 54,0.6,0.89,183,Classical
S0265,Song 265,Artist 46,0.58,0.52,136,Jazz
S0266,Song 266,Artist 90,0.71,0.43,156,Classical
S0267,Song 267,Artist 73,0.41,0.94,93,Pop
S0268,Song 268,Artist 87,0.52,0.73,42,Rock
S0269,Song 269,Artist 68,0.58,0.89,63,Pop
S0270,Song 270,Artist 2,0.74,0.46,161,Classical
S0271,Song 271,Artist 48,0.9,0.88,51,Rock
S0272,Song 272,Artist 67,0.81,0.95,175,Jazz
S0273,Song 273,Artist 49,0.9,0.82,195,Jazz
S0274,Song 274,Artist 32,0.58,0.73,91,Electronic
S0275,Song 275,Artist 63,0.5,0.86,131,Pop
S0276,Song 276,Artist 22,0.57,0.93,157,Hip-Hop
S0277,Song 277,Artist 41,0.52,0.52,83,Jazz
S0278,Song 278,Artist 34,0.79,0.39,46,Hip-Hop
S0279,Song 279,Artist 39,0.84,0.8,47,Rock
S0280,Song 280,Artist 70,0.49,0.45,52,Electronic
S0281,Song 281,Artist 95,0.57,0.91,120,Electronic
S0282,Song 282,Artist 41,0.95,0.8,87,Classical
S0283,Song 283,Artist 60,0.72,0.84,126,Jazz
S0284,Song 284,Artist 19,0.79,0.59,171,Country
S0285,Song 285,Artist 30,0.91,0.77,69,Jazz
S0286,Song 286,Artist 2,0.91,0.85,166,Jazz
S0287,Song 287,Artist 72,0.72,0.89,77,Hip-Hop
S0288,Song 288,Artist 14,0.94,0.46,149,Classical
S0289,Song 289,Artist 81,0.43,0.81,66,Hip-Hop
S0290,Song 290,Artist 55,0.83,0.43,183,Classical
S0291,Song 291,Artist 71,0.59,0.73,161,Electronic
S0292,Song 292,Artist 58,0.43,0.53,169,Electronic
S0293,Song 293,Artist 91,0.5,0.72,120,Classical
S0294,Song 294,Artist 16,0.49,0.56,169,Hip-Hop
S0295,Song 295,Artist 14,0.63,0.67,145,Pop
S0296,Song 296,Artist 31,0.98,0.55,49,Rock
S0297,Song 297,Artist 6,0.4,0.61,136,Classical
S0298,Song 298,Artist 52,0.6,0.43,157,Jazz
S0299,Song 299,Artist 29,0.59,0.56,193,Rock
S0300,Song 300,Artist 15,0.76,0.98,190,Country
S0301,Song 301,Artist 12,0.48,0.63,52,Classical
S0302,Song 302,Artist 11,0.76,0.43,168,Rock
S0303,Song 303,Artist 10,0.7,0.67,68,Classical
S0304,Song 304,Artist 7,0.92,0.42,84,Jazz
S0305,Song 305,Artist 39,0.58,0.33,101,Electronic
S0306,Song 306,Artist 7,0.6,0.87,99,Electronic
S0307,Song 307,Artist 1,0.49,0.87,74,Country
S0308,Song 308,Artist 61,0.77,0.45,135,Jazz
S0309,Song 309,Artist 20,0.45,0.68,73,Classical
S0310,Song 310,Artist 4,0.85,0.67,77,Jazz
S0311,Song 311,Artist 90,0.62,0.86,183,Rock
S0312,Song 312,Artist 11,0.79,0.89,191,Electronic
S0313,Song 313,Artist 26,0.58,0.47,58,Jazz
S0314,Song 314,Artist 45,0.93,0.42,185,Classical
S0315,Song 315,Artist 9,0.48,0.41,164,Jazz
S0316,Song 316,Artist 82,0.48,0.67,125,Pop
S0317,Song 317,Artist 84,0.65,0.38,156,Hip-Hop
S0318,Song 318,Artist 32,0.41,0.35,190,Jazz
S0319,Song 319,Artist 62,0.67,0.96,55,Jazz
S0320,Song 320,Artist 49,0.66,0.85,83,Country
S0321,Song 321,Artist 34,0.79,1.0,106,Jazz
S0322,Song 322,Artist 81,0.87,0.48,183,Electronic
S0323,Song 323,Artist 24,0.76,0.39,71,Electronic
S0324,Song 324,Artist 8,0.41,0.94,62,Rock
S0325,Song 325,Artist 25,0.85,0.92,48,Hip-Hop
S0326,Song 326,Artist 98,0.8,0.94,166,Country
S0327,Song 327,Artist 70,0.93,0.74,135,Electronic
S0328,Song 328,Artist 67,0.57,0.95,86,Pop
S0329,Song 329,Artist 50,1.0,0.41,175,Country
S0330,Song 330,Artist 76,0.59,0.89,144,Hip-Hop
S0331,Song 331,Artist 68,0.52,0.73,59,Electronic
S0332,Song 332,Artist 33,0.51,0.47,127,Country
S0333,Song 333,Artist 1,0.41,0.77,96,Electronic
S0334,Song 334,Artist 67,0.61,0.47,40,Hip-Hop
S0335,Song 335,Artist 42,0.65,0.81,128,Pop
S0336,Song 336,Artist 22,0.5,0.85,104,Classical
S0337,Song 337,Artist 34,0.87,0.39,190,Classical
S0338,Song 338,Artist 38,0.63,0.39,145,Country
S0339,Song 339,Artist 9,0.8,0.55,120,Classical
S0340,Song 340,Artist 92,0.67,0.54,191,Pop
S0341,Song 341,Artist 76,0.8,0.5,190,Jazz
S0342,Song 342,Artist 64,0.77,0.97,196,Classical
S0343,Song 343,Artist 26,0.77,0.32,84,Rock
S0344,Song 344,Artist 70,0.6,0.66,172,Country
S0345,Song 345,Artist 36,0.59,0.81,41,Jazz
S0346,Song 346,Artist 96,0.56,0.45,87,Pop
S0347,Song 347,Artist 54,0.95,0.87,159,Rock
S0348,Song 348,Artist 31,0.63,1.0,64,Classical
S0349,Song 349,Artist 80,0.72,0.71,77,Pop
S0350,Song 350,Artist 19,0.48,0.99,159,Pop
S0351,Song 351,Artist 29,0.55,0.52,56,Jazz
S0352,Song 352,Artist 93,0.96,1.0,154,Pop
S0353,Song 353,Artist 5,0.44,0.34,123,Electronic
S0354,Song 354,Artist 79,0.52,0.32,78,Hip-Hop
S0355,Song 355,Artist 97,0.79,0.81,173,Rock
S0356,Song 356,Artist 49,0.92,0.93,64,Pop
S0357,Song 357,Artist 63,0.76,0.72,167,Electronic
S0358,Song 358,Artist 41,0.95,0.44,194,Pop
S0359,Song 359,Artist 43,0.61,0.9,43,Jazz
S0360,Song 360,Artist 77,0.43,0.4,77,Classical
S0361,Song 361,Artist 38,0.44,0.77,59,Rock
S0362,Song 362,Artist 92,0.83,0.89,72,Classical
S0363,Song 363,Artist 91,0.96,0.43,135,Jazz
S0364,Song 364,Artist 70,0.71,0.63,112,Rock
S0365,Song 365,Artist 62,0.78,0.47,166,Electronic
S0366,Song 366,Artist 76,0.55,0.99,149,Hip-Hop
S0367,Song 367,Artist 24,0.72,0.87,191,Jazz
S0368,Song 368,Artist 8,0.92,0.89,57,Country
S0369,Song 369,Artist 78,0.65,0.93,87,Pop
S0370,Song 370,Artist 91,0.61,0.5,66,Pop
S0371,Song 371,Artist 32,0.94,0.59,124,Pop
S0372,Song 372,Artist 35,0.8,0.92,50,Jazz
S0373,Song 373,Artist 55,0.71,0.71,125,Electronic
S0374,Song 374,Artist 19,0.64,0.49,71,Rock
S0375,Song 375,Artist 18,0.64,0.71,84,Rock
S0376,Song 376,Artist 15,0.43,0.38,40,Jazz
S0377,Song 377,Artist 2,0.69,0.79,69,Country
S0378,Song 378,Artist 10,0.88,0.3,92,Jazz
S0379,Song 379,Artist 49,0.7,0.64,157,Electronic
S0380,Song 380,Artist 58,0.52,0.76,165,Pop
S0381,Song 381,Artist 59,0.84,0.54,178,Pop
S0382,Song 382,Artist 12,0.88,0.79,85,Electronic
S0383,Song 383,Artist 7,0.48,0.79,137,Pop
S0384,Song 384,Artist 42,0.58,0.74,183,Pop
S0385,Song 385,Artist 33,0.52,0.73,51,Rock
S0386,Song 386,Artist 89,0.94,0.3,115,Hip-Hop
S0387,Song 387,Artist 36,0.99,0.87,143,Hip-Hop
S0388,Song 388,Artist 23,0.47,0.51,155,Pop
S0389,Song 389,Artist 67,0.51,0.62,192,Country
S0390,Song 390,Artist 44,0.41,0.95,94,Classical
S0391,Song 391,Artist 14,0.81,0.5,168,Country
S0392,Song 392,Artist 71,0.94,0.41,118,Country
S0393,Song 393,Artist 28,0.94,0.95,178,Rock
S0394,Song 394,Artist 55,0.77,0.68,143,Pop
S0395,Song 395,Artist 27,0.97,0.89,80,Classical
S0396,Song 396,Artist 29,0.75,0.99,71,Hip-Hop
S0397,Song 397,Artist 69,0.82,0.47,103,Hip-Hop
S0398,Song 398,Artist 22,0.42,0.62,132,Classical
S0399,Song 399,Artist 25,0.48,0.65,66,Pop
S0400,Song 400,Artist 83,0.69,0.53,51,Country
S0401,Song 401,Artist 9,0.91,0.59,196,Classical
S0402,Song 402,Artist 59,0.49,0.83,131,Pop
S0403,Song 403,Artist 51,0.46,0.59,75,Pop
S0404,Song 404,Artist 62,0.97,0.78,71,Jazz
S0405,Song 405,Artist 27,0.86,0.72,54,Jazz
S0406,Song 406,Artist 20,0.99,0.56,47,Pop
S0407,Song 407,Artist 39,0.71,0.34,131,Classical
S0408,Song 408,Artist 99,0.98,0.68,85,Hip-Hop
S0409,Song 409,Artist 91,0.77,0.91,182,Country
S0410,Song 410,Artist 38,0.44,0.68,79,Pop
S0411,Song 411,Artist 19,0.76,0.64,46,Electronic
S0412,Song 412,Artist 5,0.5,0.47,176,Hip-Hop
S0413,Song 413,Artist 56,0.57,0.76,151,Pop
S0414,Song 414,Artist 6,0.81,0.65,129,Country
S0415,Song 415,Artist 98,0.99,0.71,200,Hip-Hop
S0416,Song 416,Artist 92,0.97,0.63,173,Electronic
S0417,Song 417,Artist 38,0.46,0.44,94,Hip-Hop
S0418,Song 418,Artist 49,0.57,0.59,100,Jazz
S0419,Song 419,Artist 99,0.94,0.67,75,Pop
S0420,Song 420,Artist 24,0.8,0.49,67,Country
S0421,Song 421,Artist 24,0.93,0.89,144,Classical
S0422,Song 422,Artist 76,0.94,0.83,190,Classical
S0423,Song 423,Artist 97,0.97,0.74,174,Jazz
S0424,Song 424,Artist 45,0.71,0.45,160,Hip-Hop
S0425,Song 425,Artist 51,0.67,0.58,45,Hip-Hop
S0426,Song 426,Artist 15,0.86,0.68,100,Rock
S0427,Song 427,Artist 72,0.44,0.83,100,Jazz
S0428,Song 428,Artist 30,0.82,0.77,109,Electronic
S0429,Song 429,Artist 22,0.76,0.37,78,Country
S0430,Song 430,Artist 27,0.67,0.76,65,Pop
S0431,Song 431,Artist 56,0.62,0.39,68,Country
S0432,Song 432,Artist 44,0.96,0.9,167,Hip-Hop
S0433,Song 433,Artist 74,0.82,0.55,80,Classical
S0434,Song 434,Artist 100,0.67,0.59,136,Pop
S0435,Song 435,Artist 97,0.74,0.85,63,Pop
S0436,Song 436,Artist 80,0.64,0.6,77,Classical
S0437,Song 437,Artist 38,0.92,0.92,70,Electronic
S0438,Song 438,Artist 46,0.97,0.66,56,Jazz
S0439,Song 439,Artist 68,0.92,0.86,59,Rock
S0440,Song 440,Artist 26,0.48,0.31,45,Jazz
S0441,Song 441,Artist 4,0.63,0.6,78,Rock
S0442,Song 442,Artist 14,0.71,0.52,125,Hip-Hop
S0443,Song 443,Artist 17,1.0,0.9,132,Country
S0444,Song 444,Artist 36,0.82,0.41,174,Pop
S0445,Song 445,Artist 53,0.85,0.91,186,Jazz
S0446,Song 446,Artist 68,0.54,0.87,109,Electronic
S0447,Song 447,Artist 67,0.56,0.97,124,Country
S0448,Song 448,Artist 88,0.46,0.4,171,Electronic
S0449,Song 449,Artist 2,0.73,0.9,56,Rock
S0450,Song 450,Artist 65,0.66,0.47,54,Pop
S0451,Song 451,Artist 50,0.88,0.57,55,Electronic
S0452,Song 452,Artist 44,0.71,0.71,145,Rock
S0453,Song 453,Artist 29,0.41,0.42,155,Country
S0454,Song 454,Artist 46,0.43,0.84,170,Classical
S0455,Song 455,Artist 54,0.91,0.79,67,Jazz
S0456,Song 456,Artist 27,0.9,0.3,76,Country
S0457,Song 457,Artist 62,0.93,0.41,40,Pop
S0458,Song 458,Artist 93,0.99,0.4,103,Country
S0459,Song 459,Artist 96,0.84,0.6,80,Pop
S0460,Song 460,Artist 18,0.55,0.91,103,Classical
S0461,Song 461,Artist 33,0.55,0.53,160,Rock
S0462,Song 462,Artist 39,0.84,0.36,116,Rock
S0463,Song 463,Artist 30,0.46,0.92,164,Pop
S0464,Song 464,Artist 6,0.93,0.56,146,Country
S0465,Song 465,Artist 55,0.97,0.78,86,Classical
S0466,Song 466,Artist 67,0.76,0.82,87,Country
S0467,Song 467,Artist 72,0.84,0.81,154,Electronic
S0468,Song 468,Artist 10,0.58,0.47,68,Classical
S0469,Song 469,Artist 11,0.89,0.46,184,Country
